epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,283.762,1.11189,1.32073,1.17287,1.29107,0.71021,0.63715,0.63672,0.51602,0.71908,0.64035,0.6226,0.48419,1.69256,2.63516,1.80653,1.65134,0.000155761,0.000155761,0.000155761
92,286.656,1.12504,1.50309,1.1437,1.28032,0.72657,0.62112,0.63825,0.52516,0.73237,0.62433,0.62425,0.48645,1.68506,2.64218,1.80566,1.63907,0.000141614,0.000141614,0.000141614
93,289.54,1.11082,1.36902,1.06121,1.31202,0.73084,0.61374,0.6388,0.52985,0.74106,0.6115,0.62258,0.48238,1.68335,2.61129,1.80616,1.63589,0.000127467,0.000127467,0.000127467
94,292.415,1.15909,1.42073,1.11013,1.31118,0.70019,0.62753,0.64268,0.52735,0.70717,0.62433,0.62163,0.48395,1.68034,2.63821,1.77808,1.62905,0.00011332,0.00011332,0.00011332
95,295.373,1.03714,1.31735,1.00068,1.27286,0.68131,0.63074,0.64474,0.52449,0.6839,0.63074,0.62199,0.48758,1.66991,2.6351,1.76748,1.62536,9.91726e-05,9.91726e-05,9.91726e-05
96,298.31,1.06481,1.43915,1.09976,1.26755,0.70198,0.64356,0.64449,0.52391,0.70088,0.64035,0.62083,0.48552,1.67633,2.63674,1.75771,1.63084,8.50255e-05,8.50255e-05,8.50255e-05
97,301.203,1.04118,1.3073,0.98127,1.22548,0.70913,0.63715,0.64314,0.51783,0.7349,0.62318,0.62053,0.48195,1.68391,2.68044,1.77147,1.63344,7.08784e-05,7.08784e-05,7.08784e-05
98,304.109,1.03035,1.30131,1.00733,1.25539,0.69901,0.65317,0.6454,0.51608,0.69687,0.64883,0.62334,0.48619,1.69113,2.66096,1.76169,1.64171,5.67313e-05,5.67313e-05,5.67313e-05
99,306.978,1.06969,1.26451,1.01655,1.26078,0.69869,0.65223,0.64411,0.51185,0.75367,0.62112,0.6234,0.48388,1.69416,2.64218,1.75949,1.64628,4.25842e-05,4.25842e-05,4.25842e-05
100,309.819,0.9945,1.27585,0.93019,1.19336,0.6902,0.65638,0.64141,0.51132,0.73574,0.62753,0.62164,0.48388,1.68781,2.6434,1.7615,1.63993,2.84371e-05,2.84371e-05,2.84371e-05
